#gemeente,provincie,inwoners,landoppervlakte,inwoners/km,gem. inkomen per inw.,hoofdplaats,grootste plaatsen
 's Hertogenbosch 's Hertogenbosch, Noord Brabant,143.745,84.63,1620.26,13.900,s-hertogenbosch,s-hertogenbosch. Rosmalen. Empel. Hintham
 Aa en Hunze Aa en Hunze, Drenthe,25.333,276.35,92.86,13.400,Gieten,Annen. Eext. Gasselternijveen. Rolde
 Aalburg Aalburg, Noord Brabant,12.859,50.40,244.68,12.500,Wijk en Aalburg,Eethen. Genderen. Meeuwen. Veen
 Aalsmeer Aalsmeer, Noord Holland,30.792,20.58,1413.07,14.700,Aalsmeer,Kudelstaart
 Aalten Aalten, Gelderland,27.030,96.57,285.63,11.900,Aalten,Bredevoort. De Heurne. Dinxperlo
 Achtkarspelen Achtkarspelen, Friesland,28.002,102.61,274.04,11.400,Buitenpost,Buitenpost. Surhuisterveen. Harkema. Kootstertille. Twijzelerheide
 Alblasserdam Alblasserdam, Zuid Holland,19.822,8.78,2123.92,12.300,Alblasserdam,Alblasserdam
 Albrandswaard Albrandswaard, Zuid Holland,25.044,22.18,985.66,15.100,Poortugaal,Rhoon
 Alkmaar Alkmaar, Noord Holland,94.906,29.41,3184.89,13.200,Alkmaar,Koedijk. Oudorp
 Almelo Almelo, Overijssel,72.435,67.43,1072.16,11.900,Almelo,Aadorp. Bornerbroek. Mariaparochie
 Almere Almere, Flevoland,196.156,130.47,1413.46,12.500,Almere Stad,Almere. Haven. Buiten. Hout. Almere Poort
 Alphen aan den Rijn Alphen aan den Rijn, Zuid Holland,106.809,126.58,843.42,14.000,Alphen aan den Rijn,Benthuizen. Boskoop. Hazerswoude Dorp. Hazerswoude Rijndijk en Koudekerk aan den Rijn
 Alphen Chaam Alphen Chaam, Noord Brabant,9.712,93.18,101.44,13.800,Alphen,Alphen. Chaam. Galder. Strijbeek
 Ameland Ameland, Friesland,3.565,60.02,57.58,11.700,Ballum,Buren. Hollum. Nes
 Amersfoort Amersfoort, Utrecht,150.943,62.88,2263.02,13.900,Amersfoort,Hoogland. Hooglanderveen
 Amstelveen Amstelveen, Noord Holland,85.135,41.56,1897.43,16.200,Amstelveen,Bovenkerk. Nes aan de Amstel
 Amsterdam Amsterdam, Noord Holland,810.909,165.34,4540.77,13.900,Amsterdam,Amsterdam stadsdelen. Centrum ? Noord ? West ? Nieuw West ? Zuid ? Oost ? Zuidoost ? Westpoort
 Apeldoorn Apeldoorn, Gelderland,157.535,339.96,455.82,13.400,Apeldoorn,Beekbergen. Ugchelen. Wenum Wiesel
 Appingedam Appingedam, Groningen,12.049,23.84,510.28,12.200,Appingedam,Appingedam
 Arnhem Arnhem, Gelderland,150.817,98.25,1466.68,12.800,Arnhem,Arnhem
 Assen Assen, Drenthe,67.209,82.09,788.77,12.600,Assen,Loon. Ubbena
 Asten Asten, Noord Brabant,16.479,70.34,232.99,12.900,Asten,Heusden. Ommel
 Baarle Nassau Baarle Nassau, Noord Brabant,6.617,76.27,87.37,12.900,Baarle Nassau,Baarle Nassau
 Baarn Baarn, Utrecht,24.344,32.56,749.20,15.100,Baarn,Eembrugge. Lage Vuursche
 Barendrecht Barendrecht, Zuid Holland,47.375,20.27,2143.95,14.400,Barendrecht,Smitshoek
 Barneveld Barneveld, Gelderland,54.176,176.02,290.97,12.200,Barneveld,Garderen. Kootwijkerbroek. Terschuur. Voorthuizen
 Bedum Bedum, Groningen,10.475,44.58,238.47,12.200,Bedum,Bedum. Zuidwolde
 Beek Beek, Limburg,16.268,21.00,797.90,13.400,Beek,Beek. Genhout. Geverik. Neerbeek. Spaubeek
 Beemster Beemster, Noord Holland,8.919,70.54,119.68,14.600,Middenbeemster,Noordbeemster. Westbeemster. Zuidoostbeemster
 Beesel Beesel, Limburg,13.593,28.32,481.29,12.600,Reuver,Reuver. Offenbeek
 Bellingwedde Bellingwedde, Groningen,8.908,108.40,87.17,11.600,Wedde,Bellingwolde. Blijham. Vriescheloo. Rhederbrug
 Bergambacht Bergambacht, Zuid Holland,9.983,35.09,271.53,13.500,Bergambacht,Ammerstol. Berkenwoude
 Bergeijk Bergeijk, Noord Brabant,18.250,101.04,179.44,13.400,Bergeijk,Loo. Luyksgestel. Riethoven. Westerhoven
 Bergen (Limburg) Bergen, Limburg,13.230,105.25,128.49,11.800,Nieuw Bergen,Afferden. Nieuw Bergen. Siebengewald. Well
 Bergen (Noord Holland) Bergen, Noord Holland,30.075,97.17,321.44,15.500,Bergen( Binnen),Bergen. Egmond aan Zee. Schoorl
 Bergen op Zoom Bergen op Zoom, Noord Brabant,66.423,80.76,808.57,12.800,Bergen op Zoom,Bergen op Zoom. Halsteren
 Berkelland Berkelland, Gelderland,44.650,258.72,174.46,12.400,Borculo,Eibergen. Neede. Ruurlo. Borculo 
 Bernheze Bernheze, Noord Brabant,29.703,89.77,331.25,13.200,Heesch,Heesch. Heeswijk Dinther. Nistelrode
 Bernisse Bernisse, Zuid Holland,12.368,57.34,219.31,14.100,Abbenbroek,Abbenbroek. Zuidland. Heenvliet
 Best Best, Noord Brabant,28.594,34.28,846.59,13.700,Best,Best. Aarle. Batadorp
 Beuningen Beuningen, Gelderland,25.254,43.86,575.85,13.100,Beuningen,Beuningen. Ewijk. Weurt. Winssen
 Beverwijk Beverwijk, Noord Holland,40.052,18.57,1992.73,13.300,Beverwijk,Wijk aan Zee
 Binnenmaas Binnenmaas, Zuid Holland,28.682,50.34,569.71,14.600,Maasdam,s-Gravendeel. Puttershoek. Mijnsheerenland. Heinenoord. Maasdam . Westmaas
 Bladel Bladel, Noord Brabant,19.825,75.42,253.57,13.000,Bladel,Bladel. Casteren
 Blaricum Blaricum, Noord Holland,9.112,11.13,815.99,21.500,Blaricum,Blaricum
 Bloemendaal Bloemendaal, Noord Holland,22.077,37.93,444.92,22.400,Overveen,Aerdenhout. Bennebroek. Overveen
 Bodegraven Reeuwijk Bodegraven Reeuwijk, Zuid Holland,32.986,37.48,516.51,13.500,Bodegraven,Nieuwerbrug. Reeuwijk Brug
 Boekel Boekel, Noord Brabant,10.089,34.51,277.92,12.200,,Venhorst
 Borger Odoorn Borger Odoorn, Drenthe,25.633,275.18,95.64,12.200,Exloo,Nieuw Buinen. Borger. Valthermond. Tweede Exlo?rmond
 Borne Borne, Overijssel,21.901,26.00,794.88,13.100,Borne,Borne
 Borsele Borsele, Zeeland,22.592,142.03,158.65,12.600,Heinkenszand,s-Gravenpolder. 's Heerenhoek. Heinkenszand. Lewedorp
 Boxmeer Boxmeer, Noord Brabant,28.135,111.56,256.76,13.300,Boxmeer,Boxmeer. Overloon. Vierlingsbeek
 Boxtel Boxtel, Noord Brabant,30.325,63.70,473.16,13.200,Boxtel,Boxtel. Liempde
 Breda Breda, Noord Brabant,179.999,126.87,1348.88,13.800,Breda,Bavel. Prinsenbeek. Teteringen. Ulvenhout
 Brielle Brielle, Zuid Holland,16.306,27.49,559.88,14.600,Brielle,Brielle
 Bronckhorst Bronckhorst, Gelderland,36.941,283.63,133.04,13.400,Bronckhorst,Bronckhorst. Zelhem. Vorden. Hengelo . Steenderen
 Brummen Brummen, Gelderland,21.169,84.01,252.74,13.400,Brummen,Eerbeek. Brummen
 Brunssum Brunssum, Limburg,28.914,17.17,1679.66,12.000,Brunssum,Brunssum
 Bunnik Bunnik, Utrecht,14.619,36.95,383.36,15.900,Odijk,Bunnik. Odijk
 Bunschoten Bunschoten, Utrecht,20.547,30.50,640.56,12.400,Bunschoten Spakenburg,Spakenburg. Bunschoten
 Buren Buren, Gelderland,25.995,134.66,190.64,13.400,Maurik,Lienden. Buren. Maurik . Beusichem
 Bussum Bussum, Noord Holland,32.646,8.06,3902.48,17.300,Bussum,Bussum
 Capelle aan den IJssel Capelle aan den IJssel, Zuid Holland,66.177,14.30,4563.29,13.900,Capelle aan den IJssel,Capelle aan den IJssel. 's Gravenland. Middelwatering. Oostgaarde. Schollevaar
 Castricum Castricum, Noord Holland,34.244,49.50,702.08,15.000,Castricum,Akersloot. Castricum. Limmen
 Coevorden Coevorden, Drenthe,35.771,296.68,121.41,12.300,Coevorden,Dalen. Schoonoord. Sleen
 Cranendonck Cranendonck, Noord Brabant,20.388,76.79,263.71,13.300,Budel,Budel. Maarheeze
 Cromstrijen Cromstrijen, Zuid Holland,12.748,54.37,237.59,14.300,Numansdorp,Numansdorp
 Cuijk Cuijk, Noord Brabant,24.780,52.50,461.75,12.500,Cuijk,Cuijk. Haps
 Culemborg Culemborg, Gelderland,27.579,29.58,920.42,13.400,Culemborg,Culemborg
 Dalfsen Dalfsen, Overijssel,27.655,165.18,161.31,12.700,Dalfsen,Dalfsen. Lemelerveld. Nieuwleusen
 Dantumadeel Dantumadeel, Friesland,19.035,85.78,226.95,11.100,Damwald,Broeksterwoude. Damwoude. Veenwouden. Zwaagwesteinde
 De Bilt De Bilt, Utrecht,42.013,66.33,633.15,16.700,Bilthoven,Bilthoven. De Bilt. Maartensdijk
 De Friese Meren De Friese Meren, Friesland,51.223,356.43,143.64,12.334,Joure,Bakhuizen. Balk. Echtenerbrug. Joure. Lemmer. Oudehaske. Oudemirdum. Sintjohannesga. Sint Nicolaasga
 De Marne De Marne, Groningen,10.205,167.45,63.97,11.900,Leens,Ulrum. Leens
 De Ronde Venen De Ronde Venen, Utrecht,42.648,84.40,490.15,15.000,,Mijdrecht. Vinkeveen. Wilnis. Abcoude
 De Wolden De Wolden, Drenthe,23.592,224.78,104.93,12.700,,Zuidwolde. Ruinen. Ruinerwold. de Wijk
 Delft Delft, Zuid Holland,99.973,23.21,4103.27,13.000,Delft,Delft
 Delfzijl Delfzijl, Groningen,25.686,132.47,208.20,12.100,Delfzijl,Delfzijl. Farmsum. Wagenborgen
 Den Haag Den Haag, Zuid Holland,508.592,82.66,5794.19,13.400,Den Haag,Den Haag. Centrum. Escamp. Haagse Hout. Laak. Leidschenveen Ypenburg. Loosduinen. Scheveningen. Segbroek
 Den Helder Den Helder, Noord Holland,56.553,45.43,1279.18,12.600,Den Helder,Den Helder. Julianadorp
 Deurne Deurne, Noord Brabant,31.669,117.10,271.45,12.800,Deurne,Deurne
 Deventer Deventer, Overijssel,98.327,131.31,738.39,12.500,Deventer,Bathmen. Colmschate. Deventer. Diepenveen. Schalkhaar
 Diemen Diemen, Noord Holland,25.980,11.99,1992.58,14.100,Diemen,Diemen
 Dinkelland Dinkelland, Overijssel,25.937,175.78,148.33,12.400,Denekamp,Denekamp. Ootmarsum. Weerselo
 Doesburg Doesburg, Gelderland,11.449,11.64,992.44,12.600,Doesburg,Doesburg
 Doetinchem Doetinchem, Gelderland,56.350,79.14,711.14,12.700,Doetinchem,Doetinchem. Gaanderen. Wehl
 Dongen Dongen, Noord Brabant,25.389,29.34,868.10,12.900,Dongen,Dongen
 Dongeradeel Dongeradeel, Friesland,24.183,167.27,148.14,11.400,Dokkum,Anjum. Dokkum. Holwerd. Ternaard
 Dordrecht Dordrecht, Zuid Holland,118.716,79.53,1487.28,12.900,Dordrecht,Dordrecht. Binnenstad. Sterrenburg. Dubbeldam
 Drechterland Drechterland, Noord Holland,19.257,59.17,315.87,13.800,Hoogkarspel,Hoogkarspel
 Drimmelen Drimmelen, Noord Brabant,26.705,96.24,276.53,13.700,Made,Lage Zwaluwe. Made . Terheijden
 Dronten Dronten, Flevoland,40.451,334.35,114.71,12.200,Dronten,Dronten. Biddinghuizen. Swifterbant
 Druten Druten, Gelderland,18.206,38.02,476.22,12.600,Druten,Afferden. Deest. Horssen
 Duiven Duiven, Gelderland,25.580,34.06,751.88,12.600,Duiven,Duiven. Groessen
 Echt Susteren Echt Susteren, Limburg,31.940,103.20,312.99,12.700,Echt,Echt. Nieuwstadt. Pey. Susteren
 Edam Volendam Edam Volendam, Noord Holland,28.934,16.31,1747.64,13.900,Volendam,Edam. Volendam
 Ede Ede, Gelderland,110.657,318.33,337.89,12.900,Ede,Ede. Bennekom. Lunteren
 Eemnes Eemnes, Utrecht,8.773,31.03,287.85,14.400,Eemnes,Eemnes
 Eemsmond Eemsmond, Groningen,15.910,189.63,87.57,11.200,Uithuizen,Uithuizen. Uithuizermeeden. Warffum
 Eersel Eersel, Noord Brabant,18.201,82.44,219.69,13.800,Eersel,Duizel. Eersel. Knegsel. Steensel. Vessem. Wintelre
 Eijsden Margraten Eijsden Margraten, Limburg,24.980,77.40,323,13.300,Eijsden,Banholt. Cadier en Keer. Eijsden. Gronsveld. Margraten. Mheer. Noorbeek. Sint Geertruid
 Eindhoven Eindhoven, Noord Brabant,220.782,87.75,2403.15,13.400,Eindhoven,Eindhoven. Centrum. Tongelre. Gestel. Stratum. Strijp. Woensel
 Elburg Elburg, Gelderland,22.658,63.83,348.32,12.100,Elburg,Doornspijk. Elburg. 't Harde
 Emmen Emmen, Drenthe,108.003,337.48,322.77,11.900,Emmen,Emmen. Emmer Compascuum. Erica. Klazienaveen. Zwartemeer
 Enkhuizen Enkhuizen, Noord Holland,18.395,12.42,1435.99,12.900,Enkhuizen,Enkhuizen
 Enschede Enschede, Overijssel,158.542,141.09,1098.58,11.500,Enschede,Enschede. Glanerbrug
 Epe Epe, Gelderland,32.352,156.21,211.29,13.100,Epe,Epe. Vaassen
 Ermelo Ermelo, Gelderland,26.080,85.67,307.04,13.700,Ermelo,Ermelo. Horst
 Etten Leur Etten Leur, Noord Brabant,42.351,55.46,731.84,13.100,Etten Leur,Etten. Leur
 Ferwerderadeel Ferwerderadeel, Friesland,8.771,97.65,90.79,11.400,Ferwert,Burdaard. Ferwerd. Hallum. Marrum
 Franekeradeel Franekeradeel, Friesland,20.437,102.72,200.74,11.800,Aneker,Aneker. Sexbierum. Tzum. Tzummarum
 Geertruidenberg Geertruidenberg, Noord Brabant,21.597,27.02,768.54,13.300,Raamsdonksveer,Geertruidenberg. Raamsdonksveer
 Geldermalsen Geldermalsen, Gelderland,26.339,99.70,263.18,13.800,Geldermalsen,Beesd. Geldermalsen. Meteren
 Geldrop Mierlo Geldrop Mierlo, Noord Brabant,38.854,31.06,1218.18,13.700,Geldrop,Geldrop. Mierlo
 Gemert Bakel Gemert Bakel, Noord Brabant,29.354,122.75,227.60,12.500,Gemert,Gemert
 Gennep Gennep, Limburg,17.285,48.02,352.12,13.000,Gennep,Gennep. Heijen. Milsbeek. Ottersum
 Giessenlanden Giessenlanden, Zuid Holland,14.423,63.57,227.59,14.100,Hoornaar,Arkel. Giessenburg. Hoornaar 
 Gilze en Rijen Gilze en Rijen, Noord Brabant,26.013,65.54,386.80,12.800,Rijen,Gilze. Rijen
 Goeree Overflakkee Goeree Overflakkee, Zuid Holland,48.233,262.03,181.50,13.000,Middelharnis,Middelharnis. Ouddorp. Dirksland
 Goes Goes, Zeeland,36.977,92.84,395.98,13.400,Goes,Goes. 's Heer Hendrikskinderen. Kloetinge. Wolphaartsdijk
 Goirle Goirle, Noord Brabant,23.060,42.04,526.90,14.000,Goirle,Goirle. Riel
 Gorinchem Gorinchem, Zuid Holland,35.252,18.96,1813.08,12.800,Gorinchem,Dalem
 Gouda Gouda, Zuid Holland,70.923,16.92,4189.18,13.400,Gouda,Gouda
 Graft De Rijp Graft De Rijp, Noord Holland,6.433,20.10,327.26,14.200,De Rijp,De Rijp
 Grave Grave, Noord Brabant,12.696,27.21,468.47,12.700,Grave,Escharen. Gassel. Grave. Velp
 Groesbeek Groesbeek, Gelderland,18.956,44.12,429.44,12.800,Groesbeek,Breedeweg. Groesbeek
 Groningen (gemeente) Groningen, Groningen,198.108,79.59,2271.94,12.300,Groningen,Groningen. Hoogkerk
 Grootegast Grootegast, Groningen,12.193,86.88,139.91,11.400,Grootegast,Grootegast. Niekerk. Opende
 Gulpen Wittem Gulpen Wittem, Limburg,14.492,73.18,202.46,13.000,Gulpen,Gulpen. Wijlre
 Haaksbergen Haaksbergen, Overijssel,24.357,104.92,231.99,12.600,Haaksbergen,Haaksbergen
 Haaren Haaren, Noord Brabant,13.578,57.67,239.14,13.900,Haaren,Haaren. Helvoirt
 Haarlem Haarlem, Noord Holland,155.205,29.32,5039.50,14.200,Haarlem,Haarlem
 Haarlemmerliede en Spaarnwoude Haarlemmerliede en Spaarnwoude, Noord Holland,5.547,19.25,284.83,14.700,Halfweg,Halfweg. Spaarndam
 Haarlemmermeer Haarlemmermeer, Noord Holland,144.166,179.76,787.03,14.400,Hoofddorp,Hoofddorp
 Halderberge Halderberge, Noord Brabant,29.379,74.64,393.68,13.500,Oudenbosch,Hoeven. Oud Gastel. Oudenbosch
 Hardenberg Hardenberg, Overijssel,59.592,312.87,185.72,11.800,Hardenberg,Dedemsvaart. Hardenberg
 Harderwijk Harderwijk, Gelderland,45.741,38.46,1096.78,12.700,Harderwijk,Harderwijk. Hierden
 Hardinxveld Giessendam Hardinxveld Giessendam, Zuid Holland,17.736,16.91,1040.63,12.400,Neder Hardinxveld,Boven Hardinxveld. Giessendam/Neder Hardinxveld
 Haren Haren, Groningen,18.790,45.69,411.18,16.300,Haren,Haren. Glimmen
 Harlingen Harlingen, Friesland,15.810,25.18,612.59,12.000,Harlingen,Harlingen
 Hattem Hattem, Gelderland,11.742,23.12,503.81,13.700,Hattem,Hattem
 Heemskerk Heemskerk, Noord Holland,39.092,27.48,1418.89,13.700,Heemskerk,Heemskerk
 Heemstede Heemstede, Noord Holland,26.320,9.20,2783.48,17.800,Heemstede,Heemstede
 Heerde Heerde, Gelderland,18.515,78.73,230.00,13.100,Heerde,Heerde. Wapenveld
 Heerenveen Heerenveen, Friesland,49.388,135.18,316.69,12.900,Heerenveen,Heerenveen. Jubbega. Nieuwehorne. Oudeschoot
 Heerhugowaard Heerhugowaard, Noord Holland,53.246,39.25,1277.40,13.100,Heerhugowaard,Heerhugowaard
 Heerlen Heerlen, Limburg,88.202,45.04,2001.00,12.300,Heerlen,Stadsdelen. Heerlerbaan. Heerlerheide. Hoensbroek
 Heeze Leende Heeze Leende, Noord Brabant,15.376,103.93,145.72,14.600,Heeze,Heeze. Leende
 Heiloo Heiloo, Noord Holland,22.626,18.79,1170.09,15.500,Heiloo,Heiloo
 Hellendoorn Hellendoorn, Overijssel,35.697,138.15,261.20,12.300,Nijverdal,Hellendoorn. Nijverdal
 Hellevoetsluis Hellevoetsluis, Zuid Holland,38.918,31.57,1255.56,13.500,Hellevoetsluis,Nieuw Helvoet
 Helmond Helmond, Noord Brabant,89.346,53.20,1622.99,12.300,Helmond,Stiphout
 Hendrik Ido Ambacht Hendrik Ido Ambacht, Zuid Holland,28.952,10.73,2313.89,13.400,Hendrik Ido Ambacht,Hendrik Ido Ambacht
 Hengelo Hengelo, Overijssel,80.975,61.06,1330.66,12.600,Hengelo,Hengelo. Beckum
 Het Bildt het Bildt, Friesland,10.633,92.28,119.30,11.500,Sint Annaparochie,Minnertsga. Sint Annaparochie. Sint Jacobiparochie
 Heumen Heumen, Gelderland,16.342,39.89,417.52,14.000,Malden,Malden
 Heusden Heusden, Noord Brabant,43.180,78.88,542.81,13.200,Heusden-gem-heusden,Vlijmen en Drunen.Heusden-gem-heusden. Drunen. Heusden. Vlijmen
 Hillegom Hillegom, Zuid Holland,20.987,12.87,1580.34,14.100,Hillegom,Hillegom
 Hilvarenbeek Hilvarenbeek, Noord Brabant,15.082,94.92,158.92,13.700,Hilvarenbeek,Diessen. Hilvarenbeek
 Hilversum Hilversum, Noord Holland,86.574,45.59,1835.05,15.100,Hilversum,Hilversum
 Hof van Twente Hof van Twente, Overijssel,34.987,213.18,164.93,13.100,Goor,Delden. Goor. Markelo
 Hollands Kroon Hollands Kroon, Noord Holland,47.501,357.60,188.71,12.759,Anna Paulowna,Barsingerhorn. Stede Niedorp. Wieringen. Winkel
 Hoogeveen Hoogeveen, Drenthe,54.680,127.77,426.38,11.900,Hoogeveen,Hollandscheveld. Elim
 Hoogezand Sappemeer Hoogezand Sappemeer, Groningen,34.360,67.53,509.03,11.700,Hoogezand,Hoogezand. Sappemeer
 Hoorn Hoorn, Noord Holland,71.741,19.31,3537.86,13.300,Hoorn,Hoorn
 Horst aan de Maas Horst aan de Maas, Limburg,41.718,122.55,338.12,12.600,Horst,Horst. Sevenum. Grubbenvorst. America. Tienray
 Houten Houten, Utrecht,48.427,55.71,826.74,14.200,Houten,Houten
