"name","timeinminutes","nchanges"
"eemsmond",170,1
"schiermonnikoog",306,3
"ameland",266,3
"dongeradeel",181,1
"terschelling",205,3
"delfzijl",176,1
"demarne",174,1
"winsum",150,1
"loppersum",163,1
"hetbildt",175,1
"appingedam",171,1
"bedum",153,1
"oldambt",207,2
"zuidhorn",146,1
"dantumadiel",195,1
"vlieland",226,2
"tenboer",172,1
"slochteren",198,1
"leeuwarderadeel",164,1
"tytsjerksteradiel",175,1
"achtkarspelen",160,1
"groningen",130,0
"franekeradeel",151,1
"grootegast",173,1
"menameradiel",163,1
"harlingen",139,1
"menterwolde",177,2
"leek",170,1
"texel",160,4
"noordenveld",162,1
"hoogezandsappemeer",156,1
"marum",197,1
"tynaarlo",173,1
"haren",146,1
"littenseradiel",156,1
"bellingwedde",204,2
"smallingerland",159,1
"veendam",188,1
"opsterland",159,1
"pekela",199,1
"aaenhunze",166,1
"stadskanaal",181,1
"ooststellingwerf",174,1
"vlagtwedde",178,2
"assen",114,0
"denhelder",85,1
"middendrenthe",122,1
"borgerodoorn",160,2
"weststellingwerf",146,1
"westerveld",148,1
"medemblik",70,1
"coevorden",115,1
"emmen",131,1
"steenwijkerland",102,0
"noordoostpolder",105,1
"enkhuizen",65,1
"hoogeveen",113,1
"dewolden",152,1
"meppel",94,0
"urk",110,2
"opmeer",80,1
"langedijk",79,2
"heerhugowaard",59,1
"stedebroec",57,1
"drechterland",52,1
"koggenland",67,1
"staphorst",149,1
"lelystad",45,0
"hoorn",39,0
"alkmaar",47,1
"hardenberg",107,1
"zwartewaterland",124,2
"dronten",87,1
"schermer",112,2
"kampen",95,1
"heiloo",44,1
"beemster",60,1
"zeevang",63,1
"dalfsen",85,1
"ommen",93,1
"castricum",38,1
"zwolle",71,0
"almere",30,0
"graftderijp",70,1
"uitgeest",37,1
"edamvolendam",53,1
"wormerland",49,2
"heemskerk",61,1
"purmerend",31,0
"oldebroek",113,1
"zaanstad",41,1
"hattem",107,1
"beverwijk",51,1
"twenterand",124,2
"waterland",40,1
"velsen",54,1
"landsmeer",41,1
"tubbergen",132,1
"oostzaan",35,1
"dinkelland",174,1
"raalte",113,1
"elburg",113,1
"hellendoorn",136,1
"heerde",101,1
"olstwijhe",108,1
"zeewolde",106,1
"bloemendaal",44,1
"haarlem",27,0
"wierden",129,1
"zandvoort",50,1
"nunspeet",118,1
"almelo",107,0
"epe",113,1
"losser",151,1
"muiden",44,1
"haarlemmermeer",4,0
"harderwijk",94,1
"heemstede",33,1
"diemen",30,0
"borne",122,1
"oldenzaal",140,1
"ouderamstel",12,0
"noordwijk",50,0
"voorst",84,1
"ermelo",90,1
"amsterdam",13,0
"amstelveen",13,0
"rijssenholten",105,1
"naarden",63,1
"huizen",64,1
"weesp",24,0
"deventer",81,0
"hengelo",119,0
"hillegom",31,1
"noordwijkerhout",55,1
"hofvantwente",131,1
"blaricum",90,1
"aalsmeer",20,1
"derondevenen",46,1
"enschede",127,0
"putten",86,1
"eemnes",75,1
"stichtsevecht",31,1
"lisse",43,0
"bunschoten",84,1
"apeldoorn",70,0
"hilversum",30,0
"ferwerderadiel",181,1
"kollumerlandennieuwkruisland",178,1
"bergen(nh.)",68,2
"haarlemmerliedeenspaarnwoude",35,1
"wijdemeren",61,1
"bussum",37,0
"laren",56,1
"nijkerk",80,1
"uithoorn",42,1
"teylingen",15,0
"lochem",123,1
"barneveld",68,1
"kaagenbraassem",29,0
"baarn",54,0
"nieuwkoop",63,1
"katwijk",38,1
"amersfoort",43,0
"haaksbergen",156,1
"oegstgeest",38,1
"soest",71,1
"debilt",59,1
"wassenaar",43,1
"berkelland",150,1
"leiden",15,0
"leiderdorp",40,0
"zutphen",104,1
"zeist",70,1
"brummen",107,1
"woerden",40,1
"leusden",72,1
"voorschoten",24,0
"ede",59,0
"zoeterwoude",40,1
"utrecht",29,0
"bronckhorst",152,3
"'sgravenhage",28,0
"leidschendamvoorburg",45,1
"bodegravenreeuwijk",47,1
"woudenberg",80,1
"scherpenzeel",82,1
"renswoude",75,1
"zoetermeer",53,1
"rheden",95,1
"utrechtseheuvelrug",46,0
"montfoort",75,1
"bunnik",59,1
"rozendaal",112,1
"waddinxveen",53,1
"arnhem",70,0
"oostgelre",148,2
"zuidplas",70,1
"westland",80,1
"rijswijk",39,1
"oudewater",67,1
"lansingerland",78,1
"nieuwegein",62,1
"ijsselstein",70,1
"pijnackernootdorp",62,1
"houten",58,1
"veenendaal",71,1
"winterswijk",142,1
"doesburg",115,1
"gouda",53,1
"delft",39,0
"wijkbijduurstede",79,1
"lopik",85,1
"middendelfland",68,1
"renkum",77,1
"vlist",77,2
"rhenen",80,1
"zevenaar",119,1
"rotterdam",27,0
"ouderkerk",76,2
"vianen",64,1
"wageningen",98,1
"doetinchem",109,1
"bergambacht",84,2
"buren",106,2
"duiven",86,1
"oudeijsselstreek",142,2
"montferland",95,1
"westervoort",84,1
"aalten",132,1
"culemborg",59,1
"zederik",84,1
"overbetuwe",86,1
"schoonhoven",89,1
"capelleaandenijssel",59,1
"schiedam",43,0
"lingewaard",101,1
"vlaardingen",52,1
"nederbetuwe",100,1
"maassluis",59,1
"leerdam",77,1
"westvoorne",111,2
"brielle",98,2
"geldermalsen",65,1
"giessenlanden",103,2
"nederlek",81,2
"krimpenaandenijssel",71,1
"tiel",81,1
"rijnwaarden",126,1
"ridderkerk",74,1
"druten",126,1
"beuningen",123,1
"nijmegen",90,0
"westmaasenwaal",117,1
"lingewaal",86,2
"hellevoetsluis",91,2
"millingenaanderijn",150,1
"alblasserdam",84,1
"bernisse",101,3
"albrandswaard",69,1
"barendrecht",49,1
"ubbergen",125,1
"hendrikidoambacht",82,1
"spijkenisse",69,1
"wijchen",100,1
"gorinchem",74,1
"neerijnen",92,2
"hardinxveldgiessendam",65,1
"papendrecht",81,1
"zwijndrecht",54,1
"sliedrecht",59,1
"oudbeijerland",85,2
"binnenmaas",88,2
"maasdriel",111,1
"oss",83,1
"groesbeek",120,1
"werkendam",130,2
"korendijk",103,2
"zaltbommel",116,2
"dordrecht",41,0
"woudrichem",95,2
"heumen",121,1
"schouwenduiveland",100,2
"cromstrijen",86,2
"strijen",94,2
"aalburg",126,1
"mookenmiddelaar",106,1
"grave",131,1
"maasdonk",113,2
"landerd",143,1
"drimmelen",103,1
"'shertogenbosch",65,0
"cuijk",110,1
"gennep",136,1
"heusden",123,1
"bernheze",107,2
"millensinthubert",146,2
"waalwijk",99,1
"moerdijk",106,2
"geertruidenberg",113,1
"boxmeer",117,1
"uden",130,1
"sintmichielsgestel",101,1
"vught",78,1
"oosterhout",98,1
"sintanthonis",138,2
"dongen",113,1
"loonopzand",124,2
"haaren",106,1
"steenbergen",94,1
"tholen",139,1
"veere",149,1
"schijndel",113,1
"veghel",132,2
"breda",53,0
"tilburg",110,1
"ettenleur",80,1
"boxtel",83,1
"halderberge",83,1
"vlissingen",131,0
"boekel",154,2
"noordbeveland",129,2
"gilzeenrijen",83,1
"sintoedenrode",122,1
"oisterwijk",116,2
"gemertbakel",134,1
"bergenopzoom",83,0
"roosendaal",70,0
"venray",150,2
"rucphen",90,1
"laarbeek",137,1
"goes",112,0
"kapelle",108,0
"alphenchaam",120,1
"oirschot",111,2
"zundert",96,1
"middelburg",127,0
"best",91,1
"reimerswaal",98,0
"hilvarenbeek",112,2
"sonenbreugel",132,1
"goirle",108,2
"horstaandemaas",135,2
"borsele",136,1
"venlo",169,1
"helmond",99,1
"deurne",106,1
"eindhoven",84,0
"woensdrecht",113,1
"eersel",139,1
"geldropmierlo",101,1
"someren",134,1
"asten",135,1
"veldhoven",115,1
"bladel",157,1
"reuseldemierden",138,2
"hulst",186,1
"sluis",222,3
"heezeleende",105,1
"baarlenassau",112,1
"terneuzen",184,1
"waalre",116,2
"peelenmaas",158,1
"bergeijk",139,1
"valkenswaard",121,1
"cranendonck",130,1
"nederweert",142,1
"leudal",150,1
"beesel",133,1
"weert",129,1
"roermond",117,0
"maasgouw",149,1
"roerdalen",151,1
"echtsusteren",135,1
"sittardgeleen",158,1
"stein",174,1
"onderbanken",170,1
"schinnen",159,1
"brunssum",174,1
"beek",144,1
"meerssen",160,1
"heerlen",148,0
"landgraaf",156,1
"nuth",155,1
"maastricht",151,1
"kerkrade",163,1
"voerendaal",192,1
"valkenburgaandegeul",180,2
"simpelveld",205,1
"eijsdenmargraten",177,2
"gulpenwittem",189,1
"vaals",189,1
"hollandskroon",74,1
"schagen",108,2
"molenwaard",77,2
"goereeoverflakkee",109,2
"heerenveen",115,0
"leeuwarden",132,0
"alphenaandenrijn",39,0
"bergen(l.)",155,1
"nuenen,gerwenennederwetten",121,1
"súdwestfryslân",158,1
"defriesemeren",142,1
